img_type,city,Acc_type,val,year
mix_years,wei_fang_shi,Change_ratio,0.19866084125822567,2017_2019
mix_years,wei_fang_shi,Overal_Acc,0.9494681498539822,2017_2019
mix_years,pu_yang_shi,FoM,0.08266606861374404,2017_2019
mix_years,pu_yang_shi,Change_ratio,0.11890775692027715,2017_2019
mix_years,pu_yang_shi,Overal_Acc,0.9604416174152459,2017_2019
mix_years,yan_tai_shi,FoM,0.13148543749885064,2017_2019
mix_years,yan_tai_shi,Change_ratio,0.15939429948020734,2017_2019
mix_years,yan_tai_shi,Overal_Acc,0.9737814516244525,2017_2019
mix_years,jiao_zuo_shi,FoM,0.06522569240449158,2017_2019
mix_years,jiao_zuo_shi,Change_ratio,0.06361783965679824,2017_2019
mix_years,jiao_zuo_shi,Overal_Acc,0.9802332498643753,2017_2019
mix_years,yan_cheng_shi,FoM,0.12255553482356546,2017_2019
mix_years,yan_cheng_shi,Change_ratio,0.25012891460382874,2017_2019
mix_years,yan_cheng_shi,Overal_Acc,0.9519415190402567,2017_2019
mix_years,shi_jia_zhuang_shi,FoM,0.07511957033010234,2017_2019
mix_years,shi_jia_zhuang_shi,Change_ratio,0.09347078009577721,2017_2019
mix_years,shi_jia_zhuang_shi,Overal_Acc,0.9787828669310265,2017_2019
mix_years,qin_huang_dao_shi,FoM,0.15983142261191444,2017_2019
mix_years,qin_huang_dao_shi,Change_ratio,0.21514794407392954,2017_2019
mix_years,qin_huang_dao_shi,Overal_Acc,0.9757325054841064,2017_2019
mix_years,liao_cheng_shi,FoM,0.06381356781569712,2017_2019
mix_years,liao_cheng_shi,Change_ratio,0.09297539397311988,2017_2019
mix_years,liao_cheng_shi,Overal_Acc,0.9684290146089803,2017_2019
mix_years,wu_hu_shi,FoM,0.06468099124251857,2017_2019
mix_years,wu_hu_shi,Change_ratio,0.10586777164937705,2017_2019
mix_years,wu_hu_shi,Overal_Acc,0.9718716766669387,2017_2019
mix_years,he_ze_shi,FoM,0.09046160491290557,2017_2019
mix_years,he_ze_shi,Change_ratio,0.12629690809136127,2017_2019
mix_years,he_ze_shi,Overal_Acc,0.9552322891779934,2017_2019
mix_years,lai_wu_shi,FoM,0.06429811596731458,2017_2019
mix_years,lai_wu_shi,Change_ratio,0.07677268669938175,2017_2019
mix_years,lai_wu_shi,Overal_Acc,0.9806014223458016,2017_2019
mix_years,bang_bu_shi,FoM,0.08120558192711337,2017_2019
mix_years,bang_bu_shi,Change_ratio,0.12468433450172946,2017_2019
mix_years,bang_bu_shi,Overal_Acc,0.9678453675357426,2017_2019
mix_years,heng_shui_shi,FoM,0.04594671776021861,2017_2019
mix_years,heng_shui_shi,Change_ratio,0.06262466375239158,2017_2019
mix_years,heng_shui_shi,Overal_Acc,0.9866750186706383,2017_2019
mix_years,xu_chang_shi,FoM,0.07980355436878785,2017_2019
mix_years,xu_chang_shi,Change_ratio,0.10682621025684909,2017_2019
mix_years,xu_chang_shi,Overal_Acc,0.9634229545039313,2017_2019
mix_years,lian_yun_gang_shi,FoM,0.09520527327871386,2017_2019
mix_years,lian_yun_gang_shi,Change_ratio,0.10304443332651002,2017_2019
mix_years,lian_yun_gang_shi,Overal_Acc,0.9734845364032317,2017_2019
mix_years,xing_tai_shi,FoM,0.08906543561922083,2017_2019
mix_years,xing_tai_shi,Change_ratio,0.112674245823957,2017_2019
mix_years,xing_tai_shi,Overal_Acc,0.9743271806156542,2017_2019
mix_years,han_dan_shi,FoM,0.10017725579712362,2017_2019
mix_years,han_dan_shi,Change_ratio,0.11917031991879085,2017_2019
mix_years,han_dan_shi,Overal_Acc,0.9706900153897005,2017_2019
mix_years,zheng_zhou_shi,FoM,0.11914462722511387,2017_2019
mix_years,zheng_zhou_shi,Change_ratio,0.12604022004897436,2017_2019
mix_years,zheng_zhou_shi,Overal_Acc,0.9375913159593402,2017_2019
mix_years,tong_ling_shi,FoM,0.0562047679054368,2017_2019
mix_years,tong_ling_shi,Change_ratio,0.07944668703072892,2017_2019
mix_years,tong_ling_shi,Overal_Acc,0.9755462451067604,2017_2019
mix_years,zhen_jiang_shi,FoM,0.058970151819942425,2017_2019
mix_years,zhen_jiang_shi,Change_ratio,0.08189917988170825,2017_2019
mix_years,zhen_jiang_shi,Overal_Acc,0.9644087244232525,2017_2019
mix_years,fu_yang_shi,FoM,0.14812475000224623,2017_2019
mix_years,fu_yang_shi,Change_ratio,0.23646049577060058,2017_2019
mix_years,fu_yang_shi,Overal_Acc,0.9168380511714548,2017_2019
mix_years,qing_dao_shi,FoM,0.14490201943973838,2017_2019
mix_years,qing_dao_shi,Change_ratio,0.16176649847550814,2017_2019
mix_years,qing_dao_shi,Overal_Acc,0.9561182640663928,2017_2019
mix_years,ma_an_shan_shi,FoM,0.08778286871532963,2017_2019
mix_years,ma_an_shan_shi,Change_ratio,0.12662934261103986,2017_2019
mix_years,ma_an_shan_shi,Overal_Acc,0.964057057112143,2017_2019
mix_years,zhu_ma_dian_shi,FoM,0.11425533456867698,2017_2019
mix_years,zhu_ma_dian_shi,Change_ratio,0.22264751712947242,2017_2019
mix_years,zhu_ma_dian_shi,Overal_Acc,0.9504893650849565,2017_2019
mix_years,he_bi_shi,FoM,0.057622271429239855,2017_2019
mix_years,he_bi_shi,Change_ratio,0.0678669979150405,2017_2019
mix_years,he_bi_shi,Overal_Acc,0.9833658357036568,2017_2019
mix_years,huang_shan_shi,FoM,0.07525636784651009,2017_2019
mix_years,huang_shan_shi,Change_ratio,0.15417335188166503,2017_2019
mix_years,huang_shan_shi,Overal_Acc,0.9896378621368865,2017_2019
mix_years,san_men_xia_shi,FoM,0.11286863334068555,2017_2019
mix_years,san_men_xia_shi,Change_ratio,0.19280875889272234,2017_2019
mix_years,san_men_xia_shi,Overal_Acc,0.9913053069716842,2017_2019
mix_years,dong_ying_shi,FoM,0.1258041052605744,2017_2019
mix_years,dong_ying_shi,Change_ratio,0.2371132526664832,2017_2019
mix_years,dong_ying_shi,Overal_Acc,0.9376301124405636,2017_2019
mix_years,lin_yi_shi,FoM,0.12227295292133283,2017_2019
mix_years,lin_yi_shi,Change_ratio,0.13900367434459798,2017_2019
mix_years,lin_yi_shi,Overal_Acc,0.9630395335230502,2017_2019
mix_years,bo_zhou_shi,FoM,0.1137288798208522,2017_2019
mix_years,bo_zhou_shi,Change_ratio,0.20269428347206853,2017_2019
mix_years,bo_zhou_shi,Overal_Acc,0.949284237415579,2017_2019
mix_years,bao_ding_shi,FoM,0.09563675044432883,2017_2019
mix_years,bao_ding_shi,Change_ratio,0.12644684960674352,2017_2019
mix_years,bao_ding_shi,Overal_Acc,0.9780636188389029,2017_2019
mix_years,xin_yang_shi,FoM,0.07460528743785716,2017_2019
mix_years,xin_yang_shi,Change_ratio,0.1508741566754389,2017_2019
mix_years,xin_yang_shi,Overal_Acc,0.9740512967390023,2017_2019
mix_years,liu_an_shi,FoM,0.09366794079984919,2017_2019
mix_years,liu_an_shi,Change_ratio,0.1797584093592858,2017_2019
mix_years,liu_an_shi,Overal_Acc,0.9724716643475747,2017_2019
